COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 11/09/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTEMBER DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN   : 13049 
 NOMBRE     : RANCHO LA SOLEDAD (CFE) 
 ESTADO     : HIDALGO 
 MUNICIPIO  : TULA DE ALLENDE 
 SITUACIÓN  : SUSPENDIDA 
 U. ADMNVA. : ORGANISMO DE CUENCA AGUAS DEL VALLE DE MÉXICO 
 CVE-OMM    :   
 LATITUD    : 20.06666667 ° 
 LONGITUD   : -99.26666667 ° 
 ALTITUD    : 2091 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1971-08-01	0	NULO	NULO	NULO
1973-04-03	0	9.9	29.6	9.6
1973-04-04	0	10.4	24.1	8.1
1973-04-05	0	2.5	20.1	2.6
1973-04-06	0	8.5	25.1	5.6
1973-04-07	0	11.7	28.1	10.1
1973-04-08	0	11.6	29.1	4.1
1973-04-09	0	7.1	25.1	5.1
1973-04-10	0	5.3	24.6	0.1
1973-04-11	0	8.6	28.1	2.6
1973-04-12	0	7.9	27.6	9.6
1973-04-13	7	1.3	26.1	10.1
1973-04-14	6	6.9	26.1	9.1
1973-04-15	2.5	3.8	25.1	10.1
1973-04-16	0	7.3	26.1	9.6
1973-04-17	0	6.5	29.1	10.1
1973-04-18	0	6.2	32.1	10.6
1973-04-19	0	9.6	31.1	10.1
1973-04-20	0	9.1	33.6	10.1
1973-04-21	0	10.1	34.1	11.1
1973-04-22	8	9.2	32.6	12.6
1973-04-23	0	9.3	30.1	13.1
1973-04-24	0	7.3	29.6	13.1
1973-04-25	0	8.2	32.1	11.6
1973-04-26	0	7.2	30.6	10.6
1973-04-27	0	6.7	23.1	8.6
1973-04-28	0	6.2	29.1	6.6
1973-04-29	0	9.5	30.1	10.1
1973-04-30	2.5	4.1	31.1	17
1973-05-01	8	7.5	29.6	10.1
